ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
0.000274,-0.007282,0.026227,0.030826,0.006188,0.00783,-0.029621,0.028855,0.040682,0.033454
0.002574,-0.006953,0.016043,0.033783,0.005859,0.00783,-0.02765,0.025899,0.022942,0.075833
0.000603,-0.002354,0.015386,0.033126,0.012101,-0.002682,-0.026335,0.025899,0.019,0.046267
0.002574,0.002245,0.015058,0.030498,0.010458,0.004874,-0.026664,0.027213,0.026227,0.036083
0.005202,0.003231,0.017686,0.029841,0.007502,0.003231,-0.02765,0.02557,0.017357,0.036411
0.003888,0.004217,0.021299,0.030169,0.00783,0.001588,-0.031592,0.020971,0.045281,0.016372
0.007502,0.011772,0.017357,0.031483,-0.006296,0.000274,-0.032249,0.020971,0.019,0.037725
0.009144,0.015058,0.015715,0.028527,0.007502,-0.010238,-0.027978,0.020971,0.018343,0.025899
0.019,0.015386,0.015715,0.024256,0.002574,0.001917,-0.024036,0.015715,0.001588,0.017357
0.006516,0.006188,0.018014,0.025242,0.002245,-5.4e-05,-0.029292,0.023599,0.000274,0.019328
0.003231,0.014072,0.020971,0.025242,-0.000383,0.001917,-0.028635,0.026556,0.012429,0.002574
0.003888,0.010458,0.019,0.029841,-0.009581,0.004545,-0.029292,0.024585,0.007502,0.011444
0.00356,0.006516,0.015386,0.026227,0.000931,0.008159,-0.038162,0.02557,0.005531,0.008159
0.004217,0.000603,0.015715,0.027213,-0.003339,0.002245,-0.028307,0.028198,0.002902,-0.004653
-0.002025,-0.009253,0.017686,0.02327,-0.003668,0.005202,-0.032577,0.022285,0.008487,0.006188
